Season,SubscriptionConcerts,SubscriptionAttendance,NonSubscriptionConcerts,NonSubscriptionAttendance,TotalConcerts,TotalAttendance
2018,104,246811,15,39266,201,474732
2017,102,246942,16,41145,196,472656
2016,109,271020,21,49632,218,528881
2015,110,265620,19,47774,217,519574
2014,108,253144,23,52934,223,521805
2013,117,261105,19,59965,218,502024
2012,123,289301,16,31839,231,581339
2011,115,275676,17,39330,210,555331
2010,107,216915,29,58912,204,377218
2009,110,264871,11,23971,211,507688
2008,118,304104,4,10632,210,619321
2007,111,289137,13,33624,197,644888
2006,116,281993,11,28971,209,583926
2005,115,281170,4,10933,203,556188
2004,113,275033,3,7615,181,536694
2003,132,313244,7,18731,187,519447
2002,125,301119,7,17629,198,599989
2001,123,310590,3,8086,193,683468
2000,129,333897,3,7931,180,708645
1999,114,293887,6,15301,168,498550
1998,120,310959,2,5476,178,739613
1997,130,307116,2,5467,181,801102
1996,130,334771,8,19722,179,791675
1995,131,335307,8,18310,178,826322
1994,133,342741,7,20797,180,843945
1993,133,330503,6,18091,179,720791
1992,120,315720,10,28805,174,715439
1991,130,328533,,,176,675514
1990,123,322629,,,170,626334
1989,131,342179,,,176,635701
1988,136,336192,,,187,846983
1987,135,343386,,,185,860543
1986,131,339309,,,190,1167459
1985,130,332804,,,178,1657147
1984,131,344331,,,193,1041809
1983,131,346124,4,10143,184,1017077
1982,125,327876,,,184,1011795
1981,,,,,,
1980,119,321260,5,12872,192,967148
1979,119,322890,2,12500,187,859909
1978,119,322609,7,18822,199,1103412
1977,118,317185,3,8000,198,1067875
1976,111,298817,4,10540,197,930052
1975,115,322000,2,5000,196,962550
1974,109,298000,3,6700,196,889500
